Abraham,L,Johnson,France,27,0123456,100,Beginner,alj@gmail.com,Running,4,1,2,3
Lincoln, ,Johnson,UAE,29,012345,101,Advanced,lj@gmail.com,Running,5,5,5,5
Jacob,Lewis,Johnson,UK,18,0123456789,102,Professional,jlj@gmail.com,Running,0,1,2,3
Moses,Job,Johnson,France,22,01234,103,Beginner,mjj@gmail.com,Running,4,4,2,1
Aaron,J,Johnson,USA,24,0796066,104,Intermediate,ajj@gmail.com,Running,5,4,3,2
John,F,Kennedy,France,22,0782147,105,Beginner,jfk@gmail.com,Running,2,2,2,2
Ronald,R,Reagan,USA,82,078333,106,Intermediate,rrr@gmail.com,Running,1,1,1,1
Harry,S,Truman,France,22,0782155,107,Beginner,hst@gmail.com,Running,1,2,1,2
Lebron,R,James,India,38,07777777,108,Professional,lbj@gmail.com,Running,2,1,2,1
Michael,B,Jordan,USA,23,07147967,109,Advanced,mbj@gmail.com,Running,4,4,4,4
